Distance,YL_M1_B1_W1_s30,YR_M1_B1_W1_s30,YL_M1_B1_W2_s30,YR_M1_B1_W2_s30,YL_M1_B1_W1_s40,YR_M1_B1_W1_s40,YL_M1_B1_W2_s40,YR_M1_B1_W2_s40,YL_M1_B1_W1_s50,YR_M1_B1_W1_s50,YL_M1_B1_W2_s50,YR_M1_B1_W2_s50,YL_M1_B1_W1_s70,YR_M1_B1_W1_s70,YL_M1_B1_W2_s70,YR_M1_B1_W2_s70,YL_M1_B1_W1_s100,YR_M1_B1_W1_s100,YL_M1_B1_W2_s100,YR_M1_B1_W2_s100,YL_M1_B1_W1_c30,YR_M1_B1_W1_c30,YL_M1_B1_W2_c30,YR_M1_B1_W2_c30,YL_M1_B1_W1_c40,YR_M1_B1_W1_c40,YL_M1_B1_W2_c40,YR_M1_B1_W2_c40,YL_M1_B1_W1_c50,YR_M1_B1_W1_c50,YL_M1_B1_W2_c50,YR_M1_B1_W2_c50,YL_M1_B1_W1_c70,YR_M1_B1_W1_c70,YL_M1_B1_W2_c70,YR_M1_B1_W2_c70,YL_M1_B1_W1_c100,YR_M1_B1_W1_c100,YL_M1_B1_W2_c100,YR_M1_B1_W2_c100
2500.25,0.011088729,0.00030860864,0.03963895,-0.028770715,0.00028821977,0.004574721,-0.007803521,0.014755213,0.0025227312,0.0036808709,-0.0024644001,0.009621571,0.0028273193,0.003556423,-0.0013902993,0.008586574,0.00283045,0.003556557,-0.0013737464,0.008570626,0.008415514,0.0009228247,0.020496877,-0.010227276,0.0033122792,0.0020725233,-0.0076369997,0.015224215,0.0060158875,-2.7365983e-05,0.00016219169,0.0077171493,0.0061616385,-0.00014435546,0.0006235391,0.0072684065,0.0061629284,-0.0001451117,0.00063062087,0.007261077
2500.5,0.010955588,0.00091453735,0.043126296,-0.033841103,-0.005699845,0.0106589645,-0.0046237493,0.011276551,-0.0035110412,0.0104146525,0.0029091185,0.0037761992,-0.0032167176,0.010346488,0.0042444486,0.0024473444,-0.0032145448,0.010348475,0.0042659547,0.002426249,0.006416497,0.003936802,0.033474453,-0.024053285,-0.0016808796,0.008114023,0.0012788419,0.0059636068,0.0018088142,0.006067408,0.01374446,-0.0075619277,0.0020284576,0.005912543,0.01431538,-0.008196427,0.002031364,0.0059105367,0.014324868,-0.008206988
2500.75,0.010910955,0.0005376069,0.04845063,-0.039446995,-0.01185665,0.017418802,0.0016284252,0.004544336,-0.010173055,0.018006168,0.011813528,-0.0055568023,-0.009890158,0.017927874,0.013414677,-0.007180852,-0.009888765,0.017930511,0.013441114,-0.007207374,0.0036391506,0.006741128,0.041722015,-0.033287928,-0.0046011657,0.012290689,0.013630865,-0.007541092,-0.0020326583,0.01066695,0.023522047,-0.017851194,-0.0017631685,0.010498665,0.024161661,-0.018474145,-0.0017606572,0.010496936,0.024172159,-0.018484144
2501.0,0.012468399,-0.0013750466,0.0547424,-0.044332147,-0.018814366,0.024410624,0.0075528016,-0.0026261033,-0.016125577,0.023993574,0.019186197,-0.013697977,-0.01556394,0.023637787,0.020707525,-0.0151103,-0.015557061,0.023634259,0.020730555,-0.015131417,0.003122077,0.0072758985,0.04907404,-0.040910617,-0.006401404,0.014916534,0.020636996,-0.015724203,-0.0023863453,0.012075258,0.031926528,-0.026757201,-0.0021665355,0.011868083,0.032455876,-0.02725734,-0.0021635566,0.011865217,0.032465912,-0.027267018
2501.25,0.015447161,-0.0045431834,0.057560798,-0.046967193,-0.021454558,0.027907968,0.013397563,-0.008339263,-0.018123567,0.02642499,0.024052612,-0.018969938,-0.017520588,0.025927506,0.025450528,-0.020280179,-0.017511014,0.02591966,0.02547136,-0.020299774,0.005304318,0.004769557,0.054282285,-0.045757152,-0.0076006837,0.016225066,0.025197955,-0.020484583,-0.0032004176,0.012591174,0.03706672,-0.032191508,-0.0029091376,0.012333637,0.037660412,-0.032750905,-0.0029045825,0.012329474,0.037670553,-0.032760635
2501.5,0.01719331,-0.0065032607,0.056298308,-0.046011582,-0.019498393,0.026675649,0.017478954,-0.012630441,-0.015333637,0.02400149,0.02744454,-0.022645522,-0.014701654,0.023423616,0.028684368,-0.02384276,-0.014690408,0.023413219,0.028703822,-0.023861654,0.008265018,-0.0014175135,0.056643978,-0.047192104,-0.0054719243,0.013837559,0.027272431,-0.022082752,-0.0013040763,0.009310979,0.03810872,-0.032791957,-0.0010528096,0.00900621,0.038659155,-0.03330987,-0.0010481614,0.009000523,0.038669564,-0.033320084
2501.75,0.020954879,-0.011749134,0.0563814,-0.043826684,-0.012019237,0.019105732,0.01711537,-0.012664395,-0.008689868,0.016853474,0.027583798,-0.022696294,-0.008074857,0.016322538,0.028739544,-0.023775473,-0.008064584,0.016313769,0.028757406,-0.023791954,0.014451793,-0.011070449,0.058818996,-0.047537506,-0.0031259195,0.009248916,0.032027952,-0.02670244,0.0017083203,0.0032264106,0.043788485,-0.037271112,0.0020356171,0.0025900933,0.044218227,-0.03762918,0.002042781,0.0025761672,0.04422506,-0.037634887
2502.0,0.026767544,-0.017982617,0.055366527,-0.041187514,-0.0007681383,0.0077165654,0.015065668,-0.010467625,0.0017752589,0.0064999154,0.026168074,-0.020752884,0.0023296631,0.0060761785,0.027243165,-0.02171762,0.0023382378,0.0060698334,0.02725967,-0.021732379,0.022346457,-0.020789668,0.05938907,-0.046390206,0.004154578,-0.0010382268,0.030162053,-0.023012748,0.009477832,-0.0070048706,0.044270627,-0.035395913,0.01000905,-0.007623201,0.044943146,-0.035971887,0.010021714,-0.007637426,0.044955768,-0.035982944
2502.25,0.031934693,-0.023026038,0.054861143,-0.03973562,0.011996521,-0.005962451,0.012433494,-0.008096642,0.014659229,-0.0076294066,0.02571479,-0.018398121,0.015087355,-0.007989754,0.026801575,-0.019262135,0.015093672,-0.007994828,0.02681844,-0.019275706,0.029117761,-0.028669761,0.058740333,-0.04419598,0.013072856,-0.009991577,0.023567839,-0.014985273,0.017380772,-0.016655194,0.042540163,-0.03192182,0.01774508,-0.017114542,0.043355554,-0.032615118,0.017753415,-0.017124822,0.043370225,-0.032628007
2502.5,0.035198595,-0.026049368,0.05617232,-0.041216884,0.017333286,-0.0118036,0.012194743,-0.007391575,0.020234384,-0.0142166065,0.025269335,-0.01741406,0.020627905,-0.014534169,0.026372168,-0.018270109,0.02063365,-0.014538533,0.026389707,-0.018283777,0.039313875,-0.03614101,0.055772983,-0.040528707,0.01837812,-0.015235061,0.018537583,-0.01018553,0.023793705,-0.022101006,0.034515135,-0.023424027,0.023973722,-0.022411484,0.035481066,-0.024232255,0.023979578,-0.022419529,0.035499245,-0.024248106
