Distance,YL_M1_B1_W1_s30,YR_M1_B1_W1_s30,YL_M1_B1_W2_s30,YR_M1_B1_W2_s30,YL_M1_B1_W1_s40,YR_M1_B1_W1_s40,YL_M1_B1_W2_s40,YR_M1_B1_W2_s40,YL_M1_B1_W1_s50,YR_M1_B1_W1_s50,YL_M1_B1_W2_s50,YR_M1_B1_W2_s50,YL_M1_B1_W1_s70,YR_M1_B1_W1_s70,YL_M1_B1_W2_s70,YR_M1_B1_W2_s70,YL_M1_B1_W1_s100,YR_M1_B1_W1_s100,YL_M1_B1_W2_s100,YR_M1_B1_W2_s100,YL_M1_B1_W1_c30,YR_M1_B1_W1_c30,YL_M1_B1_W2_c30,YR_M1_B1_W2_c30,YL_M1_B1_W1_c40,YR_M1_B1_W1_c40,YL_M1_B1_W2_c40,YR_M1_B1_W2_c40,YL_M1_B1_W1_c50,YR_M1_B1_W1_c50,YL_M1_B1_W2_c50,YR_M1_B1_W2_c50,YL_M1_B1_W1_c70,YR_M1_B1_W1_c70,YL_M1_B1_W2_c70,YR_M1_B1_W2_c70,YL_M1_B1_W1_c100,YR_M1_B1_W1_c100,YL_M1_B1_W2_c100,YR_M1_B1_W2_c100
2500.25,0.021937607,-0.0032668267,0.029875038,-0.023955682,0.009595593,-0.0008173371,-0.008178234,0.01165908,0.016884448,-0.0060125752,-0.004902524,0.008387292,0.017062418,-0.0061308644,-0.0040363763,0.007542367,0.017064264,-0.0061313887,-0.0040250625,0.0075310087,0.011780537,0.0010673152,0.010143755,-0.0037484095,0.0028801984,0.0043023233,-0.0071439166,0.012961255,0.0050691394,0.0022548116,-0.004303531,0.010258154,0.005246103,0.0021087956,-0.004090525,0.010064855,0.0052492926,0.0021065515,-0.004086746,0.010061326
2500.5,0.022158338,-0.0014513317,0.037650105,-0.03171616,-0.0019559755,0.009829937,-0.006073707,0.010262092,0.0048475517,0.004708324,-0.0013048258,0.0052820425,0.005009032,0.004632954,-0.0004021842,0.0043789065,0.005012025,0.0046318215,-0.00038682017,0.0043632695,0.012345796,0.0007819934,0.01801896,-0.011352807,0.0025965685,0.00497437,-0.005278753,0.010743665,0.004509275,0.0034431252,-0.0015282305,0.0071253143,0.0046416167,0.0033550025,-0.0012727138,0.006878184,0.0046442347,0.003353632,-0.0012678485,0.0068734884
2500.75,0.018173957,0.0027875435,0.0463701,-0.039142244,-0.011755446,0.019063896,-0.002565056,0.007266825,-0.0065344544,0.015217008,0.0043220273,-4.3526292e-05,-0.0062649036,0.015022969,0.0053860494,-0.0011424075,-0.0062622307,0.015021104,0.0054058996,-0.001163245,0.012471361,0.0007403884,0.026908768,-0.02182449,0.0019818884,0.004686592,-0.0027486589,0.008111797,0.0048378883,0.0026341667,0.0019023307,0.0036396775,0.004996536,0.0025409097,0.0021938793,0.0033558905,0.004996609,0.0025413595,0.0022003595,0.0033494718
2501.0,0.014932677,0.005798572,0.05395548,-0.04564389,-0.018757751,0.025409564,0.0036326,0.0011255192,-0.0138876615,0.02193525,0.013878726,-0.009123799,-0.013490357,0.021642415,0.014939621,-0.010233831,-0.013485088,0.021638641,0.014958408,-0.0102538895,0.014368186,-0.0013762582,0.03292282,-0.027108528,0.0020288576,0.0048921276,0.00037783757,0.0046868213,0.0050901663,0.0025257552,0.005640041,-0.00047619827,0.005256068,0.0024253,0.0059981737,-0.00082297623,0.0052554873,0.002427483,0.006006984,-0.0008312836
2501.25,0.0165075,0.004106597,0.061841257,-0.05086399,-0.021415595,0.02772276,0.010667091,-0.0055260723,-0.015955376,0.024013357,0.020960476,-0.016789969,-0.015441007,0.023687983,0.02234,-0.018274695,-0.015433396,0.02368351,0.022365144,-0.018301897,0.017798286,-0.005047948,0.042325683,-0.033728696,0.002468064,0.0040274607,0.004017923,0.00083234534,0.006530441,0.00026785024,0.0108658355,-0.005523041,0.0067219045,0.00014129002,0.011346333,-0.005986253,0.0067208996,0.00014370028,0.011358276,-0.0059972294
2501.5,0.02196094,-0.0018771267,0.06587641,-0.051700495,-0.019422635,0.026491266,0.01748709,-0.013004354,-0.013162415,0.022055456,0.02935623,-0.02493413,-0.012553607,0.021555739,0.030570973,-0.026152411,-0.012544091,0.021547625,0.030592386,-0.026173836,0.01874618,-0.0062362077,0.049904764,-0.04052995,0.0036458191,0.0025311369,0.011662969,-0.006898023,0.0064983657,0.000522322,0.02228243,-0.01732364,0.006609534,0.00048030447,0.02307452,-0.018126316,0.006606806,0.00048509892,0.02309311,-0.018145341
2501.75,0.02599725,-0.006662521,0.066700354,-0.051132537,-0.01131535,0.019443933,0.022497522,-0.01733299,-0.0060629165,0.015496356,0.0337902,-0.028167026,-0.0055687195,0.015071878,0.03497397,-0.029291352,-0.005561607,0.015065474,0.0349941,-0.029310502,0.023445977,-0.0106422,0.049835622,-0.037436202,0.00916071,-0.0015835501,0.01735686,-0.012458511,0.012819968,-0.0045319637,0.027530221,-0.021258175,0.012993813,-0.0046638604,0.028254466,-0.021880724,0.012992847,-0.004661779,0.028272508,-0.021896426
2502.0,0.029526902,-0.010995077,0.06456809,-0.04778231,-0.0013699804,0.008453341,0.02026868,-0.01410246,0.0020418337,0.0067882035,0.033540938,-0.026662525,0.0023104355,0.0065666055,0.03478477,-0.027824815,0.0023137229,0.0065637557,0.03480519,-0.027843935,0.030940522,-0.018863942,0.045726024,-0.032521375,0.013917825,-0.0060218507,0.017690396,-0.012766957,0.018307373,-0.009498279,0.026743958,-0.020220362,0.018580044,-0.009757808,0.02735941,-0.020706356,0.018589858,-0.009768124,0.02736939,-0.020712942
2502.25,0.03265503,-0.014561586,0.06347388,-0.045758486,0.0069471486,0.0006137716,0.018678598,-0.012326458,0.009864174,-0.00090379966,0.034227878,-0.026162,0.010029662,-0.00096730515,0.03566801,-0.027473422,0.010029736,-0.0009664488,0.035690207,-0.027493991,0.034475327,-0.022865735,0.04611036,-0.03242996,0.01736867,-0.009469227,0.018859277,-0.0133470185,0.021694327,-0.013077431,0.02799158,-0.02072731,0.02200991,-0.013341579,0.028666666,-0.02125328,0.02202196,-0.01335347,0.02867789,-0.021260936
2502.5,0.035061453,-0.017390147,0.061526015,-0.043995194,0.015180236,-0.0064348006,0.01792344,-0.010860148,0.01668112,-0.00736527,0.033085123,-0.023563104,0.016700273,-0.0074295565,0.034672435,-0.024818951,0.01669772,-0.007428804,0.034698084,-0.024839154,0.03592819,-0.024604343,0.045338683,-0.031277336,0.020035157,-0.012055433,0.017081177,-0.011216171,0.02385504,-0.01568241,0.026053553,-0.01856142,0.024112178,-0.015934281,0.026704678,-0.019086037,0.02412109,-0.015943568,0.026715765,-0.01909392
2502.75,0.040152214,-0.02357002,0.0643069,-0.042527765,0.019194687,-0.011204213,0.020477578,-0.010914472,0.021893524,-0.013404604,0.03395147,-0.021533322,0.022221116,-0.013686972,0.035123095,-0.022500848,0.022223413,-0.013689576,0.035140954,-0.022516247,0.038636,-0.02729091,0.044806518,-0.03002157,0.022177031,-0.015169072,0.011395326,-0.0058999434,0.026526837,-0.018676851,0.022207214,-0.014834013,0.026866462,-0.018946495,0.023139259,-0.015581787,0.02687485,-0.018954322,0.02315485,-0.01559329
2503.0,0.042143665,-0.026334133,0.06075678,-0.03924232,0.021483468,-0.014043869,0.018168312,-0.008597105,0.024518896,-0.016387807,0.032172758,-0.019700471,0.024814898,-0.016662713,0.033199426,-0.020504123,0.02481674,-0.016665181,0.033213884,-0.020515839,0.043904684,-0.03314894,0.042566307,-0.026952319,0.023212338,-0.017864931,0.004737938,-8.860417e-05,0.028846597,-0.02241192,0.015351897,-0.008539651,0.029238766,-0.022742428,0.016197069,-0.009209499,0.029245866,-0.022749357,0.016211813,-0.009220514
2503.25,0.042340953,-0.02641845,0.055836562,-0.035689227,0.021088142,-0.013525255,0.011384416,-0.0039487593,0.023975074,-0.01615787,0.025093166,-0.014751026,0.024335787,-0.016510518,0.026166203,-0.015545175,0.02433863,-0.016514033,0.026179975,-0.015555669,0.04223697,-0.032450616,0.03609418,-0.024458244,0.023080908,-0.018981695,-0.004619077,0.007129401,0.027473168,-0.022691324,0.003958553,-0.00025204383,0.027786555,-0.02295199,0.0047125705,-0.00088210776,0.02779183,-0.022957064,0.004726818,-0.0008933712
2503.5,0.036498882,-0.019368635,0.04951765,-0.033169094,0.017738186,-0.009730974,0.0056351842,-5.0471164e-05,0.022885805,-0.014977686,0.017693847,-0.0095783025,0.023222977,-0.0153501555,0.018713959,-0.010367387,0.023225881,-0.015354497,0.018725356,-0.010376248,0.038971506,-0.028186463,0.037165776,-0.02835188,0.02065939,-0.015643835,-0.010066914,0.011836814,0.024741689,-0.018848557,-0.0027323887,0.0051163584,0.025036493,-0.019091424,-0.0020653894,0.0045220423,0.025039297,-0.019094318,-0.002050737,0.004510088
2503.75,0.03253887,-0.017650915,0.05080255,-0.034857005,0.01358331,-0.0054699224,0.004116725,0.0015208316,0.020628277,-0.012254054,0.014727153,-0.0076482017,0.021145586,-0.012805004,0.015646737,-0.008400973,0.021151619,-0.012812313,0.01565536,-0.008407691,0.038398787,-0.026223645,0.03957972,-0.030888021,0.016368624,-0.011417004,-0.006580621,0.010531323,0.020262685,-0.014542838,-0.00062329695,0.004654305,0.020558208,-0.014808987,-4.317984e-05,0.004094286,0.020563133,-0.014813281,-3.2531098e-05,0.004084468
2504.0,0.03518726,-0.020041317,0.051195607,-0.037175946,0.01724383,-0.008909721,0.005129705,0.00078353006,0.023902588,-0.01535056,0.014426967,-0.0072879335,0.024452405,-0.015939629,0.015342092,-0.008069058,0.024459295,-0.015947891,0.015348159,-0.008074079,0.03752455,-0.025706604,0.04532226,-0.03558535,0.014099247,-0.010179854,0.0004382003,0.004734138,0.017901564,-0.013106137,0.006169537,-0.0009917393,0.018201787,-0.013348258,0.006762676,-0.0015938338,0.01820662,-0.0133523,0.0067726728,-0.0016031489
2504.25,0.027794667,-0.011778936,0.05060709,-0.039703302,0.01688604,-0.006612277,0.008139588,-0.0029673418,0.021704728,-0.011271704,0.015252434,-0.009267929,0.022026943,-0.01166532,0.015950637,-0.009879866,0.022030711,-0.011670673,0.015954666,-0.009883061,0.026426835,-0.017287675,0.05590237,-0.04728231,0.008690193,-0.0054199947,0.008150028,-0.0024606232,0.010835896,-0.007082618,0.014053991,-0.008551151,0.010986038,-0.007214724,0.014731934,-0.00927598,0.010985559,-0.0072144633,0.014743796,-0.009287551
2504.5,0.019333247,-0.004502687,0.055579826,-0.046170235,0.012363581,-0.002063557,0.012854012,-0.008449729,0.017017875,-0.0061570047,0.017667469,-0.012385389,0.017220903,-0.006453398,0.018224666,-0.012850909,0.01722322,-0.006457687,0.018227136,-0.0128524415,0.021249242,-0.012741557,0.067966364,-0.05955799,0.004436683,-0.0012730565,0.019538594,-0.014779247,0.006657363,-0.0029383292,0.025175849,-0.020515997,0.0068224333,-0.0030826358,0.02581255,-0.021170527,0.0068229605,-0.003083013,0.0258219,-0.021179155
2504.75,0.01976941,-0.0065065105,0.058987044,-0.047694594,0.010996853,-0.0017344016,0.018824864,-0.013996319,0.014649239,-0.0048768944,0.022652607,-0.01690037,0.0147652235,-0.005085005,0.022983372,-0.017147152,0.014766629,-0.005088175,0.022982296,-0.017145414,0.022649447,-0.014077737,0.074972354,-0.063462645,0.009777418,-0.005821335,0.024457673,-0.019132417,0.012005441,-0.007368398,0.028593658,-0.022842258,0.0121066645,-0.007437802,0.029133288,-0.023336582,0.012105299,-0.0074362243,0.029143186,-0.023345068
2505.0,0.02327852,-0.010603974,0.059808545,-0.047789432,0.017781703,-0.008538788,0.021639388,-0.016064487,0.020087156,-0.010718361,0.024433792,-0.018006189,0.020153433,-0.01089962,0.024577728,-0.018083993,0.020155171,-0.010903453,0.024574183,-0.018080166,0.028632041,-0.019218002,0.07779567,-0.061889254,0.014862571,-0.010714619,0.02808834,-0.022104241,0.017032925,-0.012178081,0.031136306,-0.024601437,0.017157095,-0.012270915,0.031551264,-0.024950758,0.017155912,-0.0122692725,0.0315589,-0.024956383
