Distance,YL_M1_B1_W1_s30,YR_M1_B1_W1_s30,YL_M1_B1_W2_s30,YR_M1_B1_W2_s30,YL_M1_B1_W1_s40,YR_M1_B1_W1_s40,YL_M1_B1_W2_s40,YR_M1_B1_W2_s40,YL_M1_B1_W1_s50,YR_M1_B1_W1_s50,YL_M1_B1_W2_s50,YR_M1_B1_W2_s50,YL_M1_B1_W1_s70,YR_M1_B1_W1_s70,YL_M1_B1_W2_s70,YR_M1_B1_W2_s70,YL_M1_B1_W1_s100,YR_M1_B1_W1_s100,YL_M1_B1_W2_s100,YR_M1_B1_W2_s100,YL_M1_B1_W1_c30,YR_M1_B1_W1_c30,YL_M1_B1_W2_c30,YR_M1_B1_W2_c30,YL_M1_B1_W1_c40,YR_M1_B1_W1_c40,YL_M1_B1_W2_c40,YR_M1_B1_W2_c40,YL_M1_B1_W1_c50,YR_M1_B1_W1_c50,YL_M1_B1_W2_c50,YR_M1_B1_W2_c50,YL_M1_B1_W1_c70,YR_M1_B1_W1_c70,YL_M1_B1_W2_c70,YR_M1_B1_W2_c70,YL_M1_B1_W1_c100,YR_M1_B1_W1_c100,YL_M1_B1_W2_c100,YR_M1_B1_W2_c100
2500.25,0.15098149,-0.09870249,0.0052901804,0.086255394,0.15069035,-0.10125685,0.0050765276,0.08664593,0.15082271,-0.10070165,0.0051268786,0.08665218,0.15082055,-0.10063675,0.005123839,0.08665055,0.15082043,-0.100636184,0.0051237494,0.0866506,0.0074676685,0.00922847,-0.02048928,-0.049157243,0.0076643713,0.008971758,-0.02060254,-0.048940532,0.0076520406,0.008986194,-0.020597227,-0.048949275,0.0076465234,0.00899324,-0.020594358,-0.048954755,0.007646475,0.008993318,-0.020594344,-0.0489548
2500.5,0.15954927,-0.089931816,0.010011859,0.08160571,0.15604441,-0.096107066,0.00783344,0.0838571,0.15668252,-0.094724305,0.008177746,0.08351206,0.15679644,-0.09451842,0.00824327,0.08344195,0.15679681,-0.09451622,0.008243509,0.08344161,0.0072330795,0.0094007645,-0.02051758,-0.048994772,0.0075288154,0.0090421755,-0.02065137,-0.048758704,0.00737733,0.009212878,-0.02059915,-0.04883798,0.007361509,0.0092311185,-0.02059323,-0.04884747,0.0073610693,0.009231597,-0.020593062,-0.048847727
2500.75,0.1751127,-0.07428892,0.020182095,0.07216298,0.17406279,-0.07782674,0.01910615,0.07320186,0.17420246,-0.07682537,0.01926376,0.073070966,0.17421561,-0.07671569,0.019280795,0.07305575,0.17421603,-0.07671346,0.019281186,0.073055364,0.0054973103,0.01087576,-0.02045983,-0.048468195,0.0060371794,0.010375539,-0.02052224,-0.048508227,0.0056762137,0.01071259,-0.02047667,-0.048490565,0.005643863,0.010742135,-0.020473376,-0.048486985,0.005641397,0.010744175,-0.020473395,-0.04848598
2501.0,0.17513922,-0.074326485,0.02010861,0.07226781,0.17414968,-0.07750785,0.019133769,0.073191576,0.17411768,-0.07671455,0.019168213,0.07317542,0.1741176,-0.07663475,0.019173183,0.07317299,0.17411053,-0.07664175,0.019168157,0.07317769,0.0053631067,0.011015216,-0.020418897,-0.04851798,0.005814921,0.010626214,-0.020435918,-0.048643548,0.0055976287,0.010825364,-0.020412412,-0.0486223,0.0055848323,0.010837007,-0.020411108,-0.048620887,0.0055848807,0.010837035,-0.020411044,-0.048621047
2501.25,0.17326674,-0.07426338,0.01920377,0.07307218,0.1721524,-0.07740092,0.018091664,0.07418147,0.17227545,-0.07667157,0.01820108,0.07409411,0.17228317,-0.07662034,0.0182071,0.07409208,0.17228274,-0.07662067,0.018206727,0.07409247,0.0063065216,0.010271007,-0.020370964,-0.048997115,0.006443169,0.010160193,-0.020367272,-0.049057875,0.006403923,0.010198599,-0.020359863,-0.049061846,0.0064033046,0.010199366,-0.020359587,-0.049062297,0.006403178,0.010199439,-0.02035959,-0.049062252
2501.5,0.15752448,-0.08838965,0.010367222,0.0805792,0.15621054,-0.09206597,0.00885595,0.08242981,0.15607986,-0.091926366,0.008711841,0.08260953,0.15604346,-0.09196172,0.008684546,0.0826426,0.15604329,-0.09196189,0.008684315,0.082643,0.0069466457,0.009743165,-0.020371664,-0.04924296,0.0069398656,0.009759791,-0.020356674,-0.049277328,0.0069354475,0.009766094,-0.02035325,-0.04928425,0.006936781,0.009764988,-0.020353217,-0.04928471,0.006936867,0.00976491,-0.020353224,-0.049284764
2501.75,0.14720654,-0.098879725,0.004451249,0.08761156,0.14808029,-0.099452466,0.0044064745,0.08807879,0.14811563,-0.09931313,0.0043984056,0.088209756,0.1481252,-0.09930063,0.004408531,0.088222936,0.14812568,-0.09930029,0.004408881,0.08822336,0.007285904,0.009464251,-0.020370476,-0.04937737,0.007247705,0.009511331,-0.02035033,-0.049412988,0.0072458535,0.009514937,-0.02034787,-0.04941859,0.0072461553,0.009514634,-0.020347942,-0.04941854,0.007246159,0.009514593,-0.020347975,-0.04941853
2502.0,0.14814752,-0.09771072,0.005832061,0.088888235,0.14920522,-0.09799661,0.005908422,0.08947276,0.14917552,-0.097904526,0.0058976114,0.08949936,0.14918026,-0.09788945,0.005910162,0.089506544,0.14918065,-0.09788903,0.005910691,0.08950689,0.0073728748,0.009373128,-0.020406384,-0.04933127,0.007321246,0.009438716,-0.020375982,-0.049386658,0.0073109567,0.009453416,-0.020370055,-0.04939948,0.0073106512,0.009453939,-0.020369861,-0.04939994,0.007310603,0.009454012,-0.02036985,-0.049399998
2502.25,0.14628115,-0.098244354,0.0057716668,0.086699896,0.14828262,-0.09927156,0.0054776296,0.08802558,0.14812483,-0.09911095,0.005456254,0.087984435,0.14810821,-0.099094026,0.0054543093,0.0879812,0.14810836,-0.09909398,0.0054542124,0.087981425,0.0073463395,0.009409944,-0.02039332,-0.04935941,0.0073231272,0.009437101,-0.020378571,-0.049383245,0.0073063523,0.009460047,-0.020368788,-0.04940308,0.007305179,0.009461712,-0.02036807,-0.04940454,0.0073051527,0.009461738,-0.020368032,-0.049404588
2502.5,0.15356217,-0.09180777,0.009050123,0.08415092,0.15188017,-0.09668571,0.007230267,0.08711244,0.15210798,-0.09616518,0.0074775405,0.08703503,0.15209813,-0.09613239,0.0074748024,0.08702362,0.15209731,-0.09613263,0.007474117,0.08702345,0.007297486,0.009462474,-0.020362176,-0.049404226,0.0073052496,0.009451102,-0.020364653,-0.049397413,0.00728995,0.009471294,-0.020355638,-0.04941474,0.007288754,0.009472892,-0.020354945,-0.049416114,0.0072887167,0.00947292,-0.02035496,-0.049416132
