Distance,YL_M1_B1_W1_s30,YR_M1_B1_W1_s30,YL_M1_B1_W2_s30,YR_M1_B1_W2_s30,YL_M1_B1_W1_s40,YR_M1_B1_W1_s40,YL_M1_B1_W2_s40,YR_M1_B1_W2_s40,YL_M1_B1_W1_s50,YR_M1_B1_W1_s50,YL_M1_B1_W2_s50,YR_M1_B1_W2_s50,YL_M1_B1_W1_s70,YR_M1_B1_W1_s70,YL_M1_B1_W2_s70,YR_M1_B1_W2_s70,YL_M1_B1_W1_s100,YR_M1_B1_W1_s100,YL_M1_B1_W2_s100,YR_M1_B1_W2_s100,YL_M1_B1_W1_c30,YR_M1_B1_W1_c30,YL_M1_B1_W2_c30,YR_M1_B1_W2_c30,YL_M1_B1_W1_c40,YR_M1_B1_W1_c40,YL_M1_B1_W2_c40,YR_M1_B1_W2_c40,YL_M1_B1_W1_c50,YR_M1_B1_W1_c50,YL_M1_B1_W2_c50,YR_M1_B1_W2_c50,YL_M1_B1_W1_c70,YR_M1_B1_W1_c70,YL_M1_B1_W2_c70,YR_M1_B1_W2_c70,YL_M1_B1_W1_c100,YR_M1_B1_W1_c100,YL_M1_B1_W2_c100,YR_M1_B1_W2_c100
2500.25,0.004096006,0.0049155145,0.03049133,-0.018801816,-0.000116569216,0.008697252,0.01250249,-0.0018930351,0.0022473086,0.006504085,0.014682377,-0.0039648023,0.002203956,0.0065434007,0.0153135285,-0.0045519033,0.0022021357,0.00654509,0.015318271,-0.0045562927,0.010364999,0.004546742,0.02139257,-0.011119116,0.004192088,0.012326362,-0.008850421,0.01609031,0.0070146937,0.009013776,-0.005312059,0.012224041,0.00703559,0.008981938,-0.0052498924,0.012164498,0.007035819,0.008981553,-0.0052488213,0.012163505
2500.5,0.0031803905,0.0058159004,0.0430327,-0.032707985,-0.0036281424,0.011638216,0.0067041614,0.0014984822,-0.00049874966,0.00862375,0.01207795,-0.0035408633,-0.0005183957,0.008642612,0.01320392,-0.0046090493,-0.0005181497,0.008642381,0.013225948,-0.0046299817,0.01599085,0.00090069324,0.038665496,-0.02686162,-0.001601073,0.018700382,-0.008021513,0.017279271,-0.0002104803,0.017355837,-0.0049758684,0.01432554,-0.00021411991,0.017350161,-0.0049282257,0.014280589,-0.00021483749,0.017350785,-0.0049280636,0.014280705
2500.75,0.0015524493,0.007320562,0.04825576,-0.038628384,-0.0049402025,0.0125423,0.0085585,-0.0014135716,-0.0025731272,0.01021128,0.016406469,-0.008857348,-0.0025641113,0.010214978,0.017582787,-0.0099775,-0.002564198,0.010215293,0.017599173,-0.009993178,0.008545518,0.008577654,0.024076743,-0.016606934,-0.0063741906,0.02296863,-0.005373461,0.0150538515,-0.005251566,0.021899939,-0.0035581011,0.0129159205,-0.00525262,0.021899361,-0.0035303198,0.01288094,-0.0052531604,0.021899946,-0.0035302183,0.0128808655
2501.0,0.00049519236,0.0082954075,0.05205789,-0.042439207,-0.007057773,0.014180681,0.0084879305,-0.0020892797,-0.004593459,0.011930671,0.018587532,-0.011741315,-0.0046018464,0.011972118,0.02001122,-0.013127402,-0.0046026413,0.011973423,0.020033369,-0.01314916,0.0021366635,0.013254255,0.01723736,-0.01098492,-0.009642378,0.025525529,-0.004166751,0.013667335,-0.008801951,0.024735449,-0.0029559713,0.012126841,-0.0088017145,0.024734214,-0.0029390585,0.012102483,-0.008802081,0.024734618,-0.002939012,0.012102425
2501.25,0.0010449393,0.007751528,0.05586166,-0.04546723,-0.007745074,0.014672539,0.012958177,-0.0068053985,-0.0055952165,0.012823423,0.024072304,-0.017429821,-0.0056528514,0.012916351,0.025375262,-0.01869031,-0.0056554107,0.012919421,0.025394604,-0.01870941,0.0037401365,0.007987503,0.030123008,-0.02343915,-0.0119363805,0.027008172,-0.003856536,0.013037141,-0.010641311,0.024570338,-0.00021436252,0.008767942,-0.010401991,0.023963502,0.0007165205,0.007730745,-0.010396657,0.023949869,0.0007379744,0.007707052
2501.5,0.0020016208,0.006890903,0.05873228,-0.048211448,-0.0074215294,0.014373705,0.022898199,-0.016672488,-0.006148714,0.013518593,0.03440205,-0.028031878,-0.0061173127,0.013525504,0.035585273,-0.029153574,-0.006118301,0.013527069,0.035606503,-0.029174045,0.0101358555,0.00018839352,0.040344134,-0.03299068,-0.009341995,0.018549243,0.010910399,-0.003243804,-0.008607057,0.017617432,0.013569301,-0.006174609,-0.008424739,0.01732918,0.014022147,-0.0067106485,-0.008420622,0.017322648,0.014032589,-0.0067229383
2501.75,0.010599474,-0.0016002385,0.06316483,-0.049876798,-0.0040492425,0.0111362,0.028728133,-0.022043519,-0.00354607,0.011060635,0.040743876,-0.033000004,-0.003258879,0.010821484,0.04193812,-0.034059294,-0.0032549102,0.0108182235,0.04195553,-0.034074668,0.015465148,-0.0077882316,0.03214562,-0.026075166,0.0016737236,0.004030156,0.014465043,-0.009689592,0.0022992948,0.0033597536,0.015949694,-0.011299543,0.0024298406,0.0031761834,0.016195158,-0.011578515,0.0024327938,0.0031720055,0.016200745,-0.011584848
2502.0,0.022934081,-0.013720042,0.05664946,-0.041732248,0.0060017896,0.0013089953,0.0255653,-0.018145818,0.006357027,0.0013449015,0.040862672,-0.031675655,0.0066640144,0.0010867957,0.04212136,-0.032773077,0.006669198,0.0010823319,0.042139817,-0.032789074,0.01972248,-0.013217973,0.03106173,-0.025028065,0.0089573,-0.0047806352,0.017680375,-0.012921844,0.0094645,-0.005274644,0.018709758,-0.013989624,0.009562822,-0.0054068323,0.018876584,-0.014173515,0.009565041,-0.00540985,0.018880391,-0.014177702
2502.25,0.032074478,-0.022399683,0.051426917,-0.03609946,0.014953756,-0.00747764,0.021212675,-0.013778497,0.017046148,-0.009082126,0.03574226,-0.025893245,0.017386023,-0.009366511,0.03691943,-0.02685839,0.017391006,-0.009370699,0.03693572,-0.02687173,0.022797856,-0.016763119,0.030634755,-0.024551343,0.01424016,-0.010800816,0.02024909,-0.015413281,0.01464951,-0.011162104,0.02098058,-0.016142286,0.014724376,-0.011257216,0.021093199,-0.016263053,0.014726059,-0.011259379,0.021095784,-0.016265798
2502.5,0.038213693,-0.027947217,0.04814049,-0.032615434,0.021479104,-0.013704541,0.018870115,-0.011400801,0.023916189,-0.015594942,0.03276937,-0.022777744,0.024082486,-0.015703667,0.034033038,-0.023822028,0.024083626,-0.015703987,0.034054343,-0.023840096,0.02514191,-0.019241532,0.030789869,-0.02464968,0.018210929,-0.014976611,0.022484398,-0.017527357,0.018545404,-0.015241524,0.023031866,-0.018050525,0.018603459,-0.0153108295,0.02311265,-0.01813431,0.018604755,-0.015312387,0.023114463,-0.018136192
