Distance,YL_M1_B1_W1_s30,YR_M1_B1_W1_s30,YL_M1_B1_W2_s30,YR_M1_B1_W2_s30,YL_M1_B1_W1_s40,YR_M1_B1_W1_s40,YL_M1_B1_W2_s40,YR_M1_B1_W2_s40,YL_M1_B1_W1_s50,YR_M1_B1_W1_s50,YL_M1_B1_W2_s50,YR_M1_B1_W2_s50,YL_M1_B1_W1_s70,YR_M1_B1_W1_s70,YL_M1_B1_W2_s70,YR_M1_B1_W2_s70,YL_M1_B1_W1_s100,YR_M1_B1_W1_s100,YL_M1_B1_W2_s100,YR_M1_B1_W2_s100,YL_M1_B1_W1_c30,YR_M1_B1_W1_c30,YL_M1_B1_W2_c30,YR_M1_B1_W2_c30,YL_M1_B1_W1_c40,YR_M1_B1_W1_c40,YL_M1_B1_W2_c40,YR_M1_B1_W2_c40,YL_M1_B1_W1_c50,YR_M1_B1_W1_c50,YL_M1_B1_W2_c50,YR_M1_B1_W2_c50,YL_M1_B1_W1_c70,YR_M1_B1_W1_c70,YL_M1_B1_W2_c70,YR_M1_B1_W2_c70,YL_M1_B1_W1_c100,YR_M1_B1_W1_c100,YL_M1_B1_W2_c100,YR_M1_B1_W2_c100
2500.25,0.012807464,-0.00028923526,0.031735513,-0.021474184,0.013354778,-0.0015927684,0.028365813,-0.01779157,0.014806719,-0.002582902,0.02881068,-0.018060852,0.014812938,-0.002571798,0.028876357,-0.0181307,0.014812504,-0.00257135,0.02887673,-0.018131146,0.016645765,0.00027099112,0.021021288,-0.008126691,0.0039563617,-0.0013302192,-0.003800583,0.017388977,0.0047479765,-0.0017313687,-0.002392957,0.015994977,0.0047810795,-0.001747086,-0.0023372434,0.015939726,0.004780571,-0.0017467868,-0.002337805,0.015940268
2500.5,0.022585932,-0.009085719,0.043853853,-0.034902018,0.01643698,-0.006718235,0.01985006,-0.010954544,0.018725712,-0.008719511,0.021856165,-0.012875148,0.01861663,-0.0085879695,0.022154212,-0.013166483,0.018615356,-0.008586409,0.022160437,-0.013172659,0.01606405,-0.0001951456,0.022531003,-0.009526283,0.0041436898,0.0016500009,0.0011998704,0.010649174,0.006525291,0.002070848,0.01240741,-0.0005376749,0.0067192875,0.002042463,0.0127657885,-0.0008915253,0.0067214947,0.0020427573,0.012771062,-0.00089685246
2500.75,0.021858096,-0.008590398,0.050552394,-0.038506564,0.010335232,-0.0014890786,0.013870938,-0.0040506544,0.010547865,-0.0013537584,0.020090612,-0.009677644,0.010445433,-0.0011754129,0.02145604,-0.010941627,0.010444876,-0.0011735931,0.02147873,-0.010962695,0.013948661,0.0024446282,0.03409278,-0.020566624,0.003700021,0.0044256514,0.012551741,-0.0019102991,0.0050453637,0.004090322,0.01856396,-0.007075075,0.0052281963,0.004039063,0.018873401,-0.0073625743,0.005228715,0.0040389486,0.018870614,-0.007359281
2501.0,0.01702988,-0.004156948,0.053858683,-0.040550537,0.0005530593,0.008047422,0.009350476,-0.00025887997,0.00024920877,0.008435049,0.01903964,-0.008956558,0.0003557106,0.008398296,0.020656593,-0.010452241,0.00035633869,0.008399289,0.020681748,-0.010475032,0.010235503,0.004358326,0.040044334,-0.026858114,0.0023874703,0.0059419023,0.01787455,-0.007661782,0.004393343,0.0056296485,0.027305406,-0.016170692,0.0045912247,0.005581999,0.027766917,-0.01658972,0.0045932913,0.005582311,0.027772784,-0.01659567
2501.25,0.014114982,-0.0018062005,0.055985954,-0.042882033,-0.0054034954,0.012627233,0.013479505,-0.0055100275,-0.004271997,0.011611866,0.027342904,-0.019044556,-0.0038917162,0.0113211395,0.028983925,-0.020626822,-0.003887842,0.011318896,0.029007904,-0.020649541,0.008564836,0.005233558,0.045387603,-0.03172688,0.0025163742,0.007032059,0.028250452,-0.01846321,0.0033365467,0.0067282217,0.0340752,-0.023160562,0.0034689384,0.0066859806,0.034371633,-0.023387223,0.0034696197,0.006686149,0.034371845,-0.023387186
2501.5,0.018703565,-0.0071357526,0.05779587,-0.044931654,-0.004948773,0.010733406,0.02241671,-0.016379405,-0.0020193928,0.008441686,0.03681433,-0.030860223,-0.0015319213,0.008087676,0.038226616,-0.032166235,-0.0015257346,0.008083592,0.038248114,-0.032186322,0.012200695,0.0022209096,0.057767928,-0.043565735,0.0016474642,0.0076985136,0.032765828,-0.02279472,0.0027953421,0.0073612994,0.039152637,-0.028038062,0.0029451975,0.007283695,0.039542917,-0.028347794,0.002947142,0.0072825234,0.039547186,-0.02835134
2501.75,0.02588092,-0.014771435,0.05896301,-0.045218907,0.0021160394,0.0039214212,0.026759613,-0.02120123,0.0062349043,0.0005896902,0.04251643,-0.036615677,0.0067762886,0.00017486699,0.04383603,-0.0377059,0.0067843474,0.00016871747,0.04385432,-0.037720792,0.015738225,-0.0023666115,0.062072456,-0.046338506,0.0069571612,0.00481465,0.047526404,-0.036931336,0.0076589817,0.004028636,0.052131765,-0.040434554,0.007767883,0.003926784,0.052392133,-0.04061017,0.007768725,0.0039252676,0.0523936,-0.04061109
2502.0,0.029344881,-0.01802736,0.06091832,-0.044811588,0.0076410514,-0.0010906607,0.02282327,-0.016407948,0.012529716,-0.005163336,0.0408008,-0.032814596,0.013148443,-0.0056695957,0.042510495,-0.034231197,0.01315727,-0.0056768376,0.04253349,-0.0342496,0.020724982,-0.0071019623,0.06929239,-0.051053867,0.01110832,-0.00026259478,0.05180966,-0.040011212,0.012778909,-0.0014005378,0.05673171,-0.043646425,0.012922481,-0.001503495,0.057033233,-0.043852806,0.012926166,-0.0015060154,0.057039306,-0.043858215
2502.25,0.03093854,-0.019042961,0.060401175,-0.04179781,0.009039554,-0.0024549002,0.020608015,-0.012892409,0.015562632,-0.008109508,0.039790403,-0.02899341,0.016306428,-0.008730246,0.041547384,-0.030328237,0.016316079,-0.008738231,0.04157134,-0.030345846,0.02328467,-0.0120075345,0.062094644,-0.04138717,0.01605341,-0.006736936,0.05048287,-0.035444774,0.017068248,-0.0061503975,0.06222725,-0.045852065,0.017154416,-0.006163897,0.06268853,-0.046224184,0.01715598,-0.0061644763,0.062694795,-0.04622966
2502.5,0.033040494,-0.02028914,0.060359914,-0.039931227,0.010043768,-0.0034754947,0.019765459,-0.011283397,0.01711996,-0.009773163,0.037540983,-0.024644412,0.017959522,-0.010484073,0.03928561,-0.025850223,0.017971193,-0.010493778,0.039312895,-0.025869343,0.029236542,-0.018650716,0.064941786,-0.04226868,0.019917654,-0.0120643545,0.047253057,-0.031112626,0.020740049,-0.012134379,0.056078203,-0.037538566,0.02083742,-0.012205094,0.056572117,-0.03789497,0.020839142,-0.01220701,0.056581028,-0.037901662
2502.75,0.03491554,-0.0209337,0.061204337,-0.03973026,0.016792724,-0.009546543,0.021090046,-0.01151101,0.024346003,-0.015861003,0.039527398,-0.024468249,0.025109477,-0.01643893,0.04131144,-0.025663275,0.025118796,-0.016445728,0.041337922,-0.025681086,0.033469222,-0.024776576,0.06039048,-0.037008077,0.026317535,-0.018484244,0.05002971,-0.0326806,0.028083945,-0.019335182,0.059008613,-0.038731083,0.028172942,-0.019421626,0.059383743,-0.038958184,0.028174035,-0.019423544,0.059389763,-0.038962066
2503.0,0.036152277,-0.021419236,0.0618353,-0.039786715,0.023270514,-0.015893659,0.01622335,-0.006856031,0.030595731,-0.022381308,0.030279225,-0.015899137,0.03131083,-0.022952469,0.031662986,-0.01673802,0.031320486,-0.022959678,0.03168717,-0.0167532,0.036646213,-0.027944475,0.05681649,-0.03300725,0.026847335,-0.017669301,0.034821544,-0.01977031,0.029168235,-0.020047866,0.04520512,-0.026439313,0.029376214,-0.020455025,0.04604081,-0.026984975,0.029377876,-0.020458078,0.046049956,-0.026990913
2503.25,0.037001714,-0.02205533,0.06078735,-0.038843784,0.022694182,-0.01503144,0.011323532,-0.00272752,0.029839898,-0.021497907,0.020674309,-0.008476487,0.030660355,-0.022215975,0.02155597,-0.008980631,0.030672265,-0.022226403,0.021570649,-0.008989329,0.035004195,-0.024026873,0.059609532,-0.03542269,0.024287997,-0.015723959,0.024320632,-0.011393912,0.027851038,-0.019471392,0.038797613,-0.021219075,0.0281575,-0.019843195,0.03969638,-0.021809872,0.028159907,-0.019846302,0.03970874,-0.021818414
2503.5,0.035632465,-0.021119205,0.056214094,-0.035561148,0.017444305,-0.00919991,0.0035806256,0.004012875,0.024895154,-0.015937513,0.010441555,-0.00057717436,0.025795313,-0.016749809,0.011215059,-0.0011042727,0.025807489,-0.016760834,0.011225239,-0.0011109987,0.031343296,-0.02146376,0.057032406,-0.032877624,0.02087281,-0.012907146,0.014440331,-0.004224565,0.024879554,-0.014681497,0.023101136,-0.00974153,0.025190823,-0.014938943,0.023702964,-0.010096677,0.025193328,-0.014944339,0.023722287,-0.010110345
