Distance,YL_M1_B1_W1_s30,YR_M1_B1_W1_s30,YL_M1_B1_W2_s30,YR_M1_B1_W2_s30,YL_M1_B1_W1_s40,YR_M1_B1_W1_s40,YL_M1_B1_W2_s40,YR_M1_B1_W2_s40,YL_M1_B1_W1_s50,YR_M1_B1_W1_s50,YL_M1_B1_W2_s50,YR_M1_B1_W2_s50,YL_M1_B1_W1_s70,YR_M1_B1_W1_s70,YL_M1_B1_W2_s70,YR_M1_B1_W2_s70,YL_M1_B1_W1_s100,YR_M1_B1_W1_s100,YL_M1_B1_W2_s100,YR_M1_B1_W2_s100,YL_M1_B1_W1_c30,YR_M1_B1_W1_c30,YL_M1_B1_W2_c30,YR_M1_B1_W2_c30,YL_M1_B1_W1_c40,YR_M1_B1_W1_c40,YL_M1_B1_W2_c40,YR_M1_B1_W2_c40,YL_M1_B1_W1_c50,YR_M1_B1_W1_c50,YL_M1_B1_W2_c50,YR_M1_B1_W2_c50,YL_M1_B1_W1_c70,YR_M1_B1_W1_c70,YL_M1_B1_W2_c70,YR_M1_B1_W2_c70,YL_M1_B1_W1_c100,YR_M1_B1_W1_c100,YL_M1_B1_W2_c100,YR_M1_B1_W2_c100
2500.25,0.021965962,-0.0143439025,0.0473441,-0.03528925,0.0058910362,-0.0021730885,-0.006615581,0.012557434,0.014618624,-0.01094804,-0.005935421,0.0110591855,0.014744293,-0.011124276,-0.004977365,0.010110645,0.014742713,-0.011123247,-0.0049673114,0.010100819,0.008502778,0.0010516383,0.055363245,-0.0435234,0.0040088855,0.00278344,0.022237314,-0.01860182,0.00647432,0.00041894987,0.026909027,-0.022424199,0.00638362,0.00059482455,0.028264228,-0.02352675,0.006379824,0.00060087815,0.02829523,-0.023551956
2500.5,0.017356317,-0.009800293,0.049157966,-0.038129844,-0.0054966826,0.009027198,-0.0043918137,0.0120885465,-0.0031526946,0.0062490106,0.0026816605,0.0031005517,-0.0036696866,0.006669648,0.0041586803,0.0013492908,-0.0036739707,0.006672442,0.004184804,0.0013178494,0.0070676394,0.002496846,0.059624895,-0.046637826,-0.008301292,0.017548569,0.010722347,-0.008256562,-0.004940819,0.0132296905,0.026449552,-0.022427395,-0.0049104244,0.0131582655,0.0274509,-0.023282371,-0.0049157776,0.013163324,0.027455384,-0.023286514
2500.75,0.0062286966,0.0007367432,0.052703995,-0.044244595,-0.011169555,0.014237404,0.0011449708,0.0068694074,-0.012674948,0.015343711,0.0101949135,-0.0043997504,-0.012643432,0.01532273,0.01132243,-0.005678296,-0.01264265,0.015322179,0.011340954,-0.005699184,-0.00068286806,0.008578632,0.05154486,-0.042436905,-0.016956698,0.026784299,0.0012899842,0.0003863871,-0.012676407,0.019469757,0.020423573,-0.019490696,-0.01235703,0.018919539,0.021943698,-0.020998813,-0.01236115,0.01891639,0.021955997,-0.021017306
2501.0,0.0023332164,0.0043839514,0.054429006,-0.04677277,-0.013798781,0.01657267,0.005552289,0.0011767652,-0.0132356025,0.016030148,0.014977991,-0.009631045,-0.013097454,0.015926257,0.01634935,-0.011164468,-0.0130961165,0.015925422,0.016364194,-0.01118096,-0.0038348474,0.010917634,0.048090696,-0.040907457,-0.01609115,0.023827102,0.010075152,-0.009674005,-0.011165392,0.016414665,0.02971368,-0.028766252,-0.010875497,0.016027912,0.030822266,-0.029755153,-0.01086865,0.01601829,0.03084981,-0.029780157
2501.25,0.01778625,-0.008876592,0.059677538,-0.046362676,-0.010126878,0.014093369,0.007850061,-0.0020488352,-0.009565204,0.013397515,0.021855518,-0.017202869,-0.009288169,0.013174862,0.02347904,-0.018900681,-0.009284588,0.013172127,0.023504086,-0.018926717,0.008176904,0.0024404898,0.072990224,-0.055985577,-0.006837677,0.014450591,0.04079298,-0.034374878,-0.005146604,0.012878049,0.046067197,-0.038364135,-0.0050022677,0.012766462,0.04645074,-0.03863416,-0.004999485,0.012764409,0.046458356,-0.038639434
2501.5,0.026588123,-0.015812904,0.06688553,-0.048694275,-0.0066177417,0.010284148,0.018242825,-0.013638832,-0.0028640777,0.00757885,0.03573401,-0.030754186,-0.001996249,0.0068905503,0.037355796,-0.03216961,-0.0019812584,0.0068786815,0.03738415,-0.032194123,0.019190138,-0.002731692,0.10620226,-0.075596,-0.001670029,0.009850845,0.05221322,-0.04246209,0.006134238,0.00355234,0.067604996,-0.052703254,0.0067663193,0.0030952692,0.06898423,-0.053585462,0.006780293,0.0030854791,0.069015734,-0.053605564
2501.75,0.036892045,-0.02586921,0.0725036,-0.048780434,0.012620423,-0.0065928176,0.02144229,-0.015548646,0.019609269,-0.012107991,0.043097597,-0.032388814,0.020633962,-0.012979716,0.04487224,-0.0335422,0.020649243,-0.012993678,0.04488837,-0.033550955,0.031453863,-0.006047141,0.13935825,-0.09148573,0.015232002,-0.0021124668,0.08824407,-0.06521974,0.018054377,-0.0034048297,0.09576488,-0.069482945,0.018204475,-0.003464006,0.09615108,-0.06968864,0.018207964,-0.0034654178,0.09615965,-0.06969314
2502.0,0.042817447,-0.031040892,0.065131746,-0.04126343,0.024928614,-0.01910644,0.011492723,-0.004582979,0.028399285,-0.021248963,0.034647938,-0.023134485,0.028768104,-0.02148166,0.03669134,-0.024671093,0.028772477,-0.021484539,0.036714304,-0.024688229,0.028975865,-0.0079580955,0.11116798,-0.07512956,0.020722786,-0.005817175,0.08686263,-0.06276157,0.022529183,-0.00649035,0.09200758,-0.06563314,0.022621078,-0.0065312237,0.09217459,-0.06571411,0.022625085,-0.00653363,0.0921757,-0.065713696
2502.25,0.042494487,-0.031053368,0.061773453,-0.03896723,0.029004153,-0.023566183,0.009944436,-0.0027724728,0.033846643,-0.026513293,0.02991156,-0.01779975,0.03426334,-0.026729949,0.031765454,-0.019136313,0.034267854,-0.026732061,0.031788047,-0.01915269,0.026175877,-0.01818066,0.0323628,-0.023838706,0.015999578,-0.010319151,0.0113732265,-0.008689716,0.017711926,-0.0090238005,0.044384137,-0.034380235,0.017967733,-0.008933701,0.047029212,-0.036259286,0.017970944,-0.008929454,0.047086217,-0.03629998
2502.5,0.04274601,-0.03125421,0.062182333,-0.039192483,0.030810077,-0.025159288,0.010336843,-0.0028887205,0.03443644,-0.027213857,0.02824118,-0.016385652,0.03481443,-0.02740796,0.029984739,-0.017644443,0.034820545,-0.027411029,0.03001387,-0.017665438,0.025714235,-0.018995345,0.020134114,-0.014393784,0.017384272,-0.011983022,-0.00789875,0.008427896,0.017711554,-0.012309417,0.00081184506,0.00048734248,0.017722432,-0.012291938,0.0022075549,-0.0007520169,0.017722093,-0.012290902,0.0022370797,-0.0007782057
